Player_Rank_Salary,Player_Name,Team_Salary,Salary_2025,Guaranteed_Salary,player_id,Player_Rank_Stats,Age,Team,Pos,FG,FG_Percent,ThreeP,ThreeP_Percent,TwoP,TwoP_Percent,eFG_Percent,FT,FT_Percent,ORB,DRB,TRB,AST,STL,BLK,PTS,Awards,Log_Salary_2025
45,Rudy Gobert,MIN,35000000.0,$71500000,goberru01,188,33,MIN,C,4.4,0.682,0.0,0.0,4.4,0.689,0.682,2.1,0.526,3.9,7.5,11.5,1.7,0.8,1.6,10.9,DPOY-4,17.37085861945369
46,Jalen Brunson,NYK,34944001.0,$113218563,brunsja01,14,29,NYK,PG,9.3,0.467,2.6,0.369,6.7,0.522,0.533,4.8,0.841,0.4,2.9,3.3,6.8,0.8,0.1,26.0,CPOY-5AS,17.36925736670393
47,Alperen Şengün,HOU,33944954.0,$145963303,sengual01,40,23,HOU,C,8.1,0.519,0.6,0.305,7.5,0.547,0.537,3.6,0.691,3.0,5.9,8.9,6.2,1.2,1.1,20.4,AS,17.340250770583662
48,Jalen Green,PHO,33584499.0,$69835665,greenja05,64,23,PHO,SG,6.8,0.422,2.2,0.313,4.5,0.509,0.491,2.0,0.747,0.5,3.1,3.6,2.8,1.1,0.3,17.8,,17.32957517919801
49,Khris Middleton,DAL,33296296.0,$33296296,middlkh01,205,34,2TM,SF,3.6,0.42,1.1,0.36,2.5,0.452,0.482,1.9,0.875,0.8,2.9,3.7,2.8,0.7,0.1,10.2,,17.320956717532788
49,Khris Middleton,DAL,33296296.0,$33296296,middlkh01,205,34,WAS,SF,3.8,0.433,1.0,0.333,2.9,0.483,0.488,1.7,0.841,0.9,3.1,3.9,3.3,0.8,0.3,10.3,,17.320956717532788
49,Khris Middleton,DAL,33296296.0,$33296296,middlkh01,205,34,DAL,SF,3.3,0.404,1.2,0.391,2.2,0.412,0.475,2.1,0.91,0.7,2.6,3.3,2.2,0.5,0.0,10.0,,17.320956717532788
50,Immanuel Quickley,TOR,32500000.0,$130000000,quickim01,83,26,TOR,PG,5.7,0.443,2.5,0.374,3.2,0.52,0.541,2.4,0.821,0.5,3.5,4.0,5.9,1.3,0.1,16.4,,17.296750647299966
51,Jrue Holiday,POR,32400000.0,$67200000,holidjr01,85,35,POR,PG,6.0,0.451,2.6,0.378,3.5,0.527,0.548,1.7,0.838,1.3,3.3,4.6,6.1,1.0,0.1,16.3,,17.293668980762558
52,Jerami Grant,POR,32000001.0,$66206899,grantje01,57,31,POR,PF,5.8,0.453,2.4,0.389,3.4,0.513,0.547,4.6,0.814,1.0,2.5,3.5,2.1,0.7,0.6,18.6,,17.281246492014
53,Jordan Poole,NOP,31848215.0,$65892857,poolejo01,136,26,NOP,PG,4.2,0.372,2.5,0.333,1.8,0.442,0.48,2.5,0.86,0.2,1.7,2.0,3.1,0.6,0.4,13.4,,17.27649189445588
54,Tyler Herro,MIA,31000000.0,$64000000,herroty01,38,26,MIA,SG,7.5,0.48,2.5,0.378,4.9,0.556,0.561,3.0,0.917,0.4,4.4,4.8,4.1,0.7,0.4,20.5,,17.24949776244942
55,Julius Randle,MIN,30864198.0,$64197532,randlju01,31,31,MIN,PF,7.3,0.481,1.4,0.315,6.0,0.547,0.526,5.0,0.802,1.7,5.1,6.7,5.0,1.1,0.2,21.1,,17.245107429348128
56,Dejounte Murray,NOP,30801103.0,$63586174,murrade01,80,29,NOP,PG,6.3,0.484,1.4,0.306,4.9,0.575,0.536,2.8,0.867,0.3,5.1,5.4,6.4,1.6,0.2,16.7,,17.243061058990893
57,Kristaps Porziņģis,GSW,30731707.0,$30731707,porzikr01,77,30,2TM,C,5.4,0.446,1.7,0.338,3.7,0.522,0.515,4.2,0.842,1.3,4.0,5.2,2.5,0.6,1.2,16.7,,17.240805480888028
57,Kristaps Porziņģis,GSW,30731707.0,$30731707,porzikr01,77,30,ATL,C,5.6,0.457,1.8,0.36,3.8,0.524,0.531,4.0,0.84,1.2,3.9,5.1,2.7,0.5,1.3,17.1,,17.240805480888028
